Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
HYBRID,F3,0.84,133812.97,46564.96,35725.71,9992.48,4366.34,1551.54,294.81,152.68,52.04,18.54
HYBRID,F4,0.24,86.67,1.02,0.6,0.46,0.43,0.36,0.14,0.1,0.03,0.03
