Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
HYBRID,F3,0.86,144054.28,61037.88,41072.48,23357.7,12366.24,11449.94,10479.46,10204.86,10204.12,4002.89
HYBRID,F4,0.24,86.45,3.0,2.39,1.76,1.03,0.67,0.41,0.15,0.04,0.03
