Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
HYBRID,F3,0.89,130382.2,56900.2,24581.66,4754.32,3467.41,3173.36,3073.94,3011.65,2968.28,2808.03
HYBRID,F4,0.25,87.87,2.19,2.1,0.96,0.54,0.29,0.25,0.19,0.1,0.03
